post_code,type_of_property,subtype,price,construction_year,state,type_of_sale,bedrooms_count,habitable_surface,kitchen_type,furnished,fireplace,terrace_area,garden_area,land_area,num_facade,swimmingpool
9041,HOUSE,VILLA,563000,2003,GOOD,Regular,4,160,INSTALLED,False,False,,420,703,4,False
4052,HOUSE,COUNTRY_COTTAGE,295000,1900,TO_RENOVATE,Regular,4,180,NOT_INSTALLED,False,False,,380,555,4,False
4458,HOUSE,HOUSE,289000,1899,GOOD,Regular,3,175,INSTALLED,False,False,74,350,857,3,False
1180,HOUSE,HOUSE,550000,1950,GOOD,Regular,3,150,USA_HYPER_EQUIPPED,False,False,12,90,162,2,
9000,HOUSE,HOUSE,595000,1930,JUST_RENOVATED,Regular,3,160,USA_HYPER_EQUIPPED,False,False,,13,103,2,False
1200,HOUSE,HOUSE,799000,1980,GOOD,Regular,4,234,INSTALLED,False,False,25,280,464,3,False
1330,HOUSE,HOUSE,379000,1960,TO_BE_DONE_UP,Regular,3,120,SEMI_EQUIPPED,False,False,,400,489,4,False
1200,HOUSE,HOUSE,699000,1949,GOOD,Regular,5,210,INSTALLED,False,False,22,,133,2,False
1070,HOUSE,APARTMENT_BLOCK,745000,1932,GOOD,Regular,5,270,INSTALLED,,False,,,490,2,
9600,HOUSE_GROUP,HOUSE_GROUP,,,,Regular,,,,False,False,,,,,
1050,HOUSE,HOUSE,740000,1900,TO_RENOVATE,Regular,5,265,SEMI_EQUIPPED,False,False,20,100,202,2,False
2870,HOUSE,HOUSE,397000,2006,GOOD,Regular,5,204,INSTALLED,False,False,30,,463,2,
9300,HOUSE,MANSION,485000,1938,GOOD,Regular,5,265,INSTALLED,False,False,80,170,393,2,
4500,HOUSE,HOUSE,189000,1950,JUST_RENOVATED,Regular,3,150,INSTALLED,False,False,,175,280,2,
6830,HOUSE,HOUSE,349500,1959,TO_BE_DONE_UP,Regular,4,180,INSTALLED,False,False,20,372,530,4,False
1180,HOUSE,HOUSE,469000,1940,GOOD,Regular,3,114,USA_HYPER_EQUIPPED,False,False,29,383,475,2,False
3770,HOUSE,HOUSE,89000,1946,TO_RENOVATE,Regular,3,114,NOT_INSTALLED,False,False,40,700,1033,3,False
8580,HOUSE,HOUSE,369000,1950,GOOD,Regular,3,160,INSTALLED,False,False,,,402,,
4040,HOUSE,HOUSE,299000,1959,GOOD,Regular,3,186,INSTALLED,False,False,80,127,630,3,True
2230,HOUSE_GROUP,HOUSE_GROUP,,,,Regular,,,,False,False,,,,,
1785,HOUSE,BUNGALOW,459000,1982,GOOD,Regular,3,133,USA_SEMI_EQUIPPED,,False,,522,600,4,False
